scenario,flow,agent,n_inject,seed,travel_time
1x1_low,low,colight,6,2,79.7795459952629
1x1_low,low,colight,8,0,90.83988047204399
1x1_low,low,colight,8,1,103.51294594189089
1x1_low,low,colight,8,2,95.99609078334743
1x1_low,low,colight,10,0,116.24125925809624
1x1_low,low,colight,10,1,105.41251759351988
1x1_low,low,colight,10,2,111.89317185799928
1x1_low,low,colight,12,0,138.61361634919993
1x1_low,low,colight,12,1,130.2674434842394
1x1_low,low,colight,12,2,136.74930193846646
1x1_low,low,colight,14,0,157.96454460517185
1x1_low,low,colight,14,1,159.97566914819515
1x1_low,low,colight,14,2,155.76211126625293
1x1_low,low,colight,16,0,186.0698383481914
1x1_low,low,colight,16,1,183.778060062555
1x1_low,low,colight,16,2,180.92227974060248
1x1_low,low,colight,18,0,205.94814745319977
1x1_low,low,colight,18,1,204.9020759076037
1x1_low,low,colight,18,2,205.9088330446223
1x1_low,low,colight,20,0,240.62059150930136
1x1_low,low,colight,20,1,235.66362741024165
1x1_low,low,colight,20,2,231.67635413622682
1x1_normal,normal,maxqueue,0,0,106.93469767170973
1x1_normal,normal,maxqueue,0,1,110.26217230287881
1x1_normal,normal,maxqueue,0,2,109.94000397562198
1x1_normal,normal,maxqueue,2,0,110.14204541756418
1x1_normal,normal,maxqueue,2,1,107.7353237642611
1x1_normal,normal,maxqueue,2,2,108.64470452008709
1x1_normal,normal,maxqueue,4,0,113.22311057055056
1x1_normal,normal,maxqueue,4,1,115.32098683705324
1x1_normal,normal,maxqueue,4,2,109.55773981991136
1x1_normal,normal,maxqueue,6,0,105.30671376658411
1x1_normal,normal,maxqueue,6,1,107.87838001783797
1x1_normal,normal,maxqueue,6,2,109.15005424951863
1x1_normal,normal,maxqueue,8,0,112.51294491006108
1x1_normal,normal,maxqueue,8,1,105.80713583688704
1x1_normal,normal,maxqueue,8,2,113.5093546539687
1x1_normal,normal,maxqueue,10,0,103.05172464794363
1x1_normal,normal,maxqueue,10,1,114.90461445955235
1x1_normal,normal,maxqueue,10,2,115.8662608891563
1x1_normal,normal,maxqueue,12,0,106.33067956668397
1x1_normal,normal,maxqueue,12,1,106.5414772019463
1x1_normal,normal,maxqueue,12,2,103.44575075635868
1x1_normal,normal,maxqueue,14,0,120.62902118292857
1x1_normal,normal,maxqueue,14,1,112.27407670074106
1x1_normal,normal,maxqueue,14,2,115.11450140532122
1x1_normal,normal,maxqueue,16,0,123.65941452652582
1x1_normal,normal,maxqueue,16,1,121.92159570334533
1x1_normal,normal,maxqueue,16,2,125.37234716860394
1x1_normal,normal,maxqueue,18,0,136.39598878353343
1x1_normal,normal,maxqueue,18,1,137.5477706993883
1x1_normal,normal,maxqueue,18,2,139.17343169151277
1x1_normal,normal,maxqueue,20,0,146.0043962145889
1x1_normal,normal,maxqueue,20,1,146.94610538367016
1x1_normal,normal,maxqueue,20,2,142.66968771630926
1x1_normal,normal,maxpressure,0,0,103.213942750215
1x1_normal,normal,maxpressure,0,1,107.0430800283165
1x1_normal,normal,maxpressure,0,2,112.34473920990543
1x1_normal,normal,maxpressure,2,0,105.43095396750087
1x1_normal,normal,maxpressure,2,1,114.24832233318737
1x1_normal,normal,maxpressure,2,2,112.38974950073538
1x1_normal,normal,maxpressure,4,0,109.98686691586956
1x1_normal,normal,maxpressure,4,1,103.92604902790517
1x1_normal,normal,maxpressure,4,2,114.2138826544511
1x1_normal,normal,maxpressure,6,0,116.07907199639381
1x1_normal,normal,maxpressure,6,1,113.0210654357133
1x1_normal,normal,maxpressure,6,2,102.96225121527763
1x1_normal,normal,maxpressure,8,0,112.96478505501189
1x1_normal,normal,maxpressure,8,1,102.75316591063658
1x1_normal,normal,maxpressure,8,2,113.65453992312656
1x1_normal,normal,maxpressure,10,0,109.8362529573713
1x1_normal,normal,maxpressure,10,1,108.66134542153033
1x1_normal,normal,maxpressure,10,2,111.64669776090884
1x1_normal,normal,maxpressure,12,0,110.32984075897211
1x1_normal,normal,maxpressure,12,1,112.89903315558679
1x1_normal,normal,maxpressure,12,2,108.53204072898653
1x1_normal,normal,maxpressure,14,0,118.28907371058425
1x1_normal,normal,maxpressure,14,1,115.54901886034708
1x1_normal,normal,maxpressure,14,2,111.58040156900066
1x1_normal,normal,maxpressure,16,0,124.87549993868272
1x1_normal,normal,maxpressure,16,1,124.104879201358
1x1_normal,normal,maxpressure,16,2,123.5178974015983
1x1_normal,normal,maxpressure,18,0,131.77436092058207
1x1_normal,normal,maxpressure,18,1,132.36089049214874
1x1_normal,normal,maxpressure,18,2,135.75905364301704
1x1_normal,normal,maxpressure,20,0,139.6237315006878
1x1_normal,normal,maxpressure,20,1,144.61995708690478
1x1_normal,normal,maxpressure,20,2,144.6789107635992
1x1_normal,normal,mplight,0,0,93.54960531346899
1x1_normal,normal,mplight,0,1,99.1213333189691
1x1_normal,normal,mplight,0,2,88.37900892638913
1x1_normal,normal,mplight,2,0,102.9809986242071
1x1_normal,normal,mplight,2,1,94.64395780704687
1x1_normal,normal,mplight,2,2,109.27367622074564
1x1_normal,normal,mplight,4,0,89.77285871282236
1x1_normal,normal,mplight,4,1,102.7985324113587
1x1_normal,normal,mplight,4,2,94.07976353152355
1x1_normal,normal,mplight,6,0,102.12119905976013
1x1_normal,normal,mplight,6,1,101.19505049328018
1x1_normal,normal,mplight,6,2,101.17311362746386
1x1_normal,normal,mplight,8,0,110.06758504302195
1x1_normal,normal,mplight,8,1,114.03308322045146
1x1_normal,normal,mplight,8,2,119.12527347710063
1x1_normal,normal,mplight,10,0,133.8226795744973
1x1_normal,normal,mplight,10,1,131.54592586231425
1x1_normal,normal,mplight,10,2,126.2008243905827
1x1_normal,normal,mplight,12,0,148.69855553902934
1x1_normal,normal,mplight,12,1,145.71892491295142
1x1_normal,normal,mplight,12,2,150.46848591322743
1x1_normal,normal,mplight,14,0,178.41802638071374
1x1_normal,normal,mplight,14,1,174.44980391678806
1x1_normal,normal,mplight,14,2,172.7490594955027
1x1_normal,normal,mplight,16,0,204.7622139138332
1x1_normal,normal,mplight,16,1,198.24104845500216
1x1_normal,normal,mplight,16,2,205.14552986801607
1x1_normal,normal,mplight,18,0,231.41844382027045
1x1_normal,normal,mplight,18,1,226.7797907360302
1x1_normal,normal,mplight,18,2,224.76023861251693
1x1_normal,normal,mplight,20,0,257.58330203365904
1x1_normal,normal,mplight,20,1,251.5393996026543
1x1_normal,normal,mplight,20,2,255.0799410075059
1x1_normal,normal,colight,0,0,98.03970850549639
1x1_normal,normal,colight,0,1,102.67997441549737
1x1_normal,normal,colight,0,2,97.22555212038208
1x1_normal,normal,colight,2,0,99.07874993291432
1x1_normal,normal,colight,2,1,91.70639181511709
1x1_normal,normal,colight,2,2,98.16916849038735
1x1_normal,normal,colight,4,0,98.5399829744874
1x1_normal,normal,colight,4,1,90.50854055548642
1x1_normal,normal,colight,4,2,103.28463556039442
1x1_normal,normal,colight,6,0,98.15392104631864
1x1_normal,normal,colight,6,1,99.21517115882263
1x1_normal,normal,colight,6,2,100.21583961717442
1x1_normal,normal,colight,8,0,113.60354930223643
1x1_normal,normal,colight,8,1,108.22123526093887
1x1_normal,normal,colight,8,2,108.6739811486037
1x1_normal,normal,colight,10,0,124.6180980429863
1x1_normal,normal,colight,10,1,124.03719949671773
1x1_normal,normal,colight,10,2,132.2496725710528
1x1_normal,normal,colight,12,0,154.22776819243953
1x1_normal,normal,colight,12,1,156.1300136771526
1x1_normal,normal,colight,12,2,153.9562036140278
1x1_normal,normal,colight,14,0,179.1983591401834
1x1_normal,normal,colight,14,1,179.0978186982847
1x1_normal,normal,colight,14,2,173.34822288511856
1x1_normal,normal,colight,16,0,200.8968046393387
1x1_normal,normal,colight,16,1,199.2242880375721
1x1_normal,normal,colight,16,2,194.55669585086412
1x1_normal,normal,colight,18,0,226.98976424206342
1x1_normal,normal,colight,18,1,224.21827618175632
1x1_normal,normal,colight,18,2,232.57526390043245
1x1_normal,normal,colight,20,0,255.91209273554952
1x1_normal,normal,colight,20,1,252.13986988731767
1x1_normal,normal,colight,20,2,253.95521165978965
1x1_high,high,maxqueue,0,0,150.62162295087663
1x1_high,high,maxqueue,0,1,153.8487138719181
1x1_high,high,maxqueue,0,2,145.47650444262476
1x1_high,high,maxqueue,2,0,156.98088851217713
1x1_high,high,maxqueue,2,1,147.90675935873566
1x1_high,high,maxqueue,2,2,148.80276207318036
1x1_high,high,maxqueue,4,0,156.56743133566363
1x1_high,high,maxqueue,4,1,155.5515290471171
1x1_high,high,maxqueue,4,2,150.3820601607628
1x1_high,high,maxqueue,6,0,147.33799626761459
1x1_high,high,maxqueue,6,1,152.94213876865308
1x1_high,high,maxqueue,6,2,142.38242799483896
1x1_high,high,maxqueue,8,0,156.80941005787471
1x1_high,high,maxqueue,8,1,147.8092231238168
1x1_high,high,maxqueue,8,2,147.40251095942685
1x1_high,high,maxqueue,10,0,150.74159611867773
1x1_high,high,maxqueue,10,1,147.87938582318336
1x1_high,high,maxqueue,10,2,147.61294088205216
1x1_high,high,maxqueue,12,0,148.26805996118696
1x1_high,high,maxqueue,12,1,154.61154855836702
1x1_high,high,maxqueue,12,2,156.87863089040943
1x1_high,high,maxqueue,14,0,150.4505853406137
1x1_high,high,maxqueue,14,1,164.23804301369273
1x1_high,high,maxqueue,14,2,148.3154662351752
1x1_high,high,maxqueue,16,0,165.7421208222419
1x1_high,high,maxqueue,16,1,162.10623978773774
1x1_high,high,maxqueue,16,2,159.75368849674456
1x1_high,high,maxqueue,18,0,173.71849992507433
1x1_high,high,maxqueue,18,1,176.76942787935175
1x1_high,high,maxqueue,18,2,176.34490178019558
1x1_high,high,maxqueue,20,0,191.87392676950924
1x1_high,high,maxqueue,20,1,179.94052367638324
1x1_high,high,maxqueue,20,2,179.68614402139875
1x1_high,high,maxpressure,0,0,145.1779919203999
1x1_high,high,maxpressure,0,1,145.60469164263804
1x1_high,high,maxpressure,0,2,142.2359038756368
1x1_high,high,maxpressure,2,0,147.49640923082413
1x1_high,high,maxpressure,2,1,155.68466133904957
1x1_high,high,maxpressure,2,2,148.10033383302374
1x1_high,high,maxpressure,4,0,144.06731613248814
1x1_high,high,maxpressure,4,1,157.40014799073748
1x1_high,high,maxpressure,4,2,151.39293323057797
1x1_high,high,maxpressure,6,0,147.79227478921382
1x1_high,high,maxpressure,6,1,146.19003304886343
1x1_high,high,maxpressure,6,2,149.58105889312247
1x1_high,high,maxpressure,8,0,158.23513157434414
1x1_high,high,maxpressure,8,1,152.34271863222827
1x1_high,high,maxpressure,8,2,147.72989367561354
1x1_high,high,maxpressure,10,0,144.45366979200261
1x1_high,high,maxpressure,10,1,156.6481356005488
1x1_high,high,maxpressure,10,2,140.94717699877282
1x1_high,high,maxpressure,12,0,146.21637269539895
1x1_high,high,maxpressure,12,1,149.21690855528465
1x1_high,high,maxpressure,12,2,150.85564576371002
1x1_high,high,maxpressure,14,0,145.37410479875336
1x1_high,high,maxpressure,14,1,157.1014308446438
1x1_high,high,maxpressure,14,2,160.31708418367978
1x1_high,high,maxpressure,16,0,165.6751724214946
1x1_high,high,maxpressure,16,1,166.8846102536686
1x1_high,high,maxpressure,16,2,157.8781520005578
1x1_high,high,maxpressure,18,0,169.05055830598275
1x1_high,high,maxpressure,18,1,175.35897972660345
1x1_high,high,maxpressure,18,2,165.37547139206086
1x1_high,high,maxpressure,20,0,184.78732111827128
1x1_high,high,maxpressure,20,1,189.15382975241562
1x1_high,high,maxpressure,20,2,192.56753070890264
1x1_high,high,mplight,0,0,137.81452719152048
1x1_high,high,mplight,0,1,137.24844699437386
1x1_high,high,mplight,0,2,138.52598574126273
1x1_high,high,mplight,2,0,137.50566486144322
1x1_high,high,mplight,2,1,138.13484588192804
1x1_high,high,mplight,2,2,133.94678116611627
1x1_high,high,mplight,4,0,132.62298393333296
1x1_high,high,mplight,4,1,130.75635933059118
1x1_high,high,mplight,4,2,133.71594453569017
1x1_high,high,mplight,6,0,136.86940684054946
1x1_high,high,mplight,6,1,135.721835161492
1x1_high,high,mplight,6,2,136.9427555293229
1x1_high,high,mplight,8,0,142.84805295977284
1x1_high,high,mplight,8,1,150.8111704486012
1x1_high,high,mplight,8,2,146.37094251952607
1x1_high,high,mplight,10,0,160.86349247114848
1x1_high,high,mplight,10,1,170.00295103607576
1x1_high,high,mplight,10,2,169.59904741531386
1x1_high,high,mplight,12,0,187.86152193798992
1x1_high,high,mplight,12,1,186.138865923987
1x1_high,high,mplight,12,2,188.95995552269008
1x1_high,high,mplight,14,0,203.00369892283183
1x1_high,high,mplight,14,1,208.68586541836274
1x1_high,high,mplight,14,2,207.23455446461168
1x1_high,high,mplight,16,0,239.77541853418543
1x1_high,high,mplight,16,1,231.16039345516816
1x1_high,high,mplight,16,2,229.60218029059286
1x1_high,high,mplight,18,0,262.95462249070346
1x1_high,high,mplight,18,1,265.5053572910213
1x1_high,high,mplight,18,2,258.9521913653317
1x1_high,high,mplight,20,0,288.59501594800486
1x1_high,high,mplight,20,1,291.8298756183464
1x1_high,high,mplight,20,2,291.60842424520234
1x1_high,high,colight,0,0,138.00725908643156
1x1_high,high,colight,0,1,131.19991500640782
1x1_high,high,colight,0,2,127.1678706065869
1x1_high,high,colight,2,0,128.63400661080215
1x1_high,high,colight,2,1,137.29414227400787
1x1_high,high,colight,2,2,135.639105660657
1x1_high,high,colight,4,0,143.40065566142945
1x1_high,high,colight,4,1,137.88360697613888
1x1_high,high,colight,4,2,136.5751123148878
1x1_high,high,colight,6,0,138.42097793111304
1x1_high,high,colight,6,1,130.69729661097253
1x1_high,high,colight,6,2,136.02271249067473
1x1_high,high,colight,8,0,150.256025064324
1x1_high,high,colight,8,1,148.24779658423103
1x1_high,high,colight,8,2,153.57097639811488
1x1_high,high,colight,10,0,168.87320372809398
1x1_high,high,colight,10,1,173.6406991661414
1x1_high,high,colight,10,2,162.09138863741637
1x1_high,high,colight,12,0,190.21277249255047
1x1_high,high,colight,12,1,182.87695741031447
1x1_high,high,colight,12,2,181.73873583791237
1x1_high,high,colight,14,0,210.7529631830873
1x1_high,high,colight,14,1,205.61065447938734
1x1_high,high,colight,14,2,205.45574513754048
1x1_high,high,colight,16,0,229.83677888146696
1x1_high,high,colight,16,1,231.2759897623874
1x1_high,high,colight,16,2,230.0700740292227
1x1_high,high,colight,18,0,257.1162278528271
1x1_high,high,colight,18,1,255.12216529353256
1x1_high,high,colight,18,2,258.61831501797235
1x1_high,high,colight,20,0,297.68277687414906
1x1_high,high,colight,20,1,286.9572448516816
1x1_high,high,colight,20,2,285.7794884319314
2x2_normal,normal,maxqueue,0,0,115.22656398867882
2x2_normal,normal,maxqueue,0,1,106.656028492259
2x2_normal,normal,maxqueue,0,2,104.23830182873142
2x2_normal,normal,maxqueue,2,0,111.25135776569051
2x2_normal,normal,maxqueue,2,1,108.74675579924437
2x2_normal,normal,maxqueue,2,2,101.50008303995071
2x2_normal,normal,maxqueue,4,0,112.09668793350423
2x2_normal,normal,maxqueue,4,1,118.06405810856937
2x2_normal,normal,maxqueue,4,2,108.71041664818712
2x2_normal,normal,maxqueue,6,0,108.18376540484454
2x2_normal,normal,maxqueue,6,1,115.0726707524805
2x2_normal,normal,maxqueue,6,2,108.12166503290103
2x2_normal,normal,maxqueue,8,0,109.64421986072283
2x2_normal,normal,maxqueue,8,1,114.55075132020964
2x2_normal,normal,maxqueue,8,2,107.01329732491273
2x2_normal,normal,maxqueue,10,0,108.51773141755197
2x2_normal,normal,maxqueue,10,1,112.1970793781545
2x2_normal,normal,maxqueue,10,2,114.98774630426729
2x2_normal,normal,maxqueue,12,0,110.3026330667101
2x2_normal,normal,maxqueue,12,1,109.82099454167977
2x2_normal,normal,maxqueue,12,2,109.80666150377928
2x2_normal,normal,maxqueue,14,0,119.8263462739193
2x2_normal,normal,maxqueue,14,1,111.5431689782101
2x2_normal,normal,maxqueue,14,2,116.38322084670142
2x2_normal,normal,maxqueue,16,0,119.17201802031835
2x2_normal,normal,maxqueue,16,1,118.04826283241336
2x2_normal,normal,maxqueue,16,2,120.01210778618965
2x2_normal,normal,maxqueue,18,0,131.33612551268382
2x2_normal,normal,maxqueue,18,1,130.8905538640667
2x2_normal,normal,maxqueue,18,2,134.9952315586193
2x2_normal,normal,maxqueue,20,0,143.8464574231705
2x2_normal,normal,maxqueue,20,1,141.48445755897689
2x2_normal,normal,maxqueue,20,2,144.8282169364064
2x2_normal,normal,maxpressure,0,0,100.75292145080337
2x2_normal,normal,maxpressure,0,1,104.27675504907312
2x2_normal,normal,maxpressure,0,2,109.08910917613693
2x2_normal,normal,maxpressure,2,0,108.65136556863939
2x2_normal,normal,maxpressure,2,1,108.75087098522388
2x2_normal,normal,maxpressure,2,2,111.88358906061497
2x2_normal,normal,maxpressure,4,0,111.145348203586
2x2_normal,normal,maxpressure,4,1,114.52635094741925
2x2_normal,normal,maxpressure,4,2,118.54007216873131
2x2_normal,normal,maxpressure,6,0,105.61175754588253
2x2_normal,normal,maxpressure,6,1,102.82345397874987
2x2_normal,normal,maxpressure,6,2,118.27371051590497
2x2_normal,normal,maxpressure,8,0,105.80166005458018
2x2_normal,normal,maxpressure,8,1,110.3320924650756
2x2_normal,normal,maxpressure,8,2,112.62632523137445
2x2_normal,normal,maxpressure,10,0,106.17971886931156
2x2_normal,normal,maxpressure,10,1,106.24408336040014
2x2_normal,normal,maxpressure,10,2,99.59954072073805
2x2_normal,normal,maxpressure,12,0,108.46576929231362
2x2_normal,normal,maxpressure,12,1,108.82764390309566
2x2_normal,normal,maxpressure,12,2,106.77634872325449
2x2_normal,normal,maxpressure,14,0,112.48744144806709
2x2_normal,normal,maxpressure,14,1,111.99696844687072
2x2_normal,normal,maxpressure,14,2,115.28087373976807
2x2_normal,normal,maxpressure,16,0,122.12164880453359
2x2_normal,normal,maxpressure,16,1,121.41703267915314
2x2_normal,normal,maxpressure,16,2,122.25817677033645
2x2_normal,normal,maxpressure,18,0,131.70087731955584
2x2_normal,normal,maxpressure,18,1,131.17183057556537
2x2_normal,normal,maxpressure,18,2,130.21773990379342
2x2_normal,normal,maxpressure,20,0,143.85351678959523
2x2_normal,normal,maxpressure,20,1,143.5344600092452
2x2_normal,normal,maxpressure,20,2,141.49894838690602
2x2_normal,normal,mplight,0,0,94.131343478775
2x2_normal,normal,mplight,0,1,96.15464769220466
2x2_normal,normal,mplight,0,2,99.923673716984
2x2_normal,normal,mplight,2,0,98.92979997252517
2x2_normal,normal,mplight,2,1,93.82353730725316
2x2_normal,normal,mplight,2,2,106.43686716892029
2x2_normal,normal,mplight,4,0,92.0155297961232
2x2_normal,normal,mplight,4,1,101.69210699717118
2x2_normal,normal,mplight,4,2,98.81958624977104
2x2_normal,normal,mplight,6,0,97.4118820023864
2x2_normal,normal,mplight,6,1,95.99811089687492
2x2_normal,normal,mplight,6,2,101.09069409194775
2x2_normal,normal,mplight,8,0,110.32149294296337
2x2_normal,normal,mplight,8,1,114.02607623084556
2x2_normal,normal,mplight,8,2,105.66284263724033
2x2_normal,normal,mplight,10,0,131.68853771110466
2x2_normal,normal,mplight,10,1,131.93924679499537
2x2_normal,normal,mplight,10,2,133.5007228077823
2x2_normal,normal,mplight,12,0,151.72757791115504
2x2_normal,normal,mplight,12,1,145.16256888683742
2x2_normal,normal,mplight,12,2,151.71431509835506
2x2_normal,normal,mplight,14,0,170.3582579148285
2x2_normal,normal,mplight,14,1,179.78084801106036
2x2_normal,normal,mplight,14,2,173.51316848526744
2x2_normal,normal,mplight,16,0,198.790524586361
2x2_normal,normal,mplight,16,1,195.59088998902007
2x2_normal,normal,mplight,16,2,197.85088164125483
2x2_normal,normal,mplight,18,0,226.2129760170117
2x2_normal,normal,mplight,18,1,227.70697520766612
2x2_normal,normal,mplight,18,2,227.595306981971
2x2_normal,normal,mplight,20,0,253.309697065098
2x2_normal,normal,mplight,20,1,252.16532328725887
2x2_normal,normal,mplight,20,2,256.26215445838096
2x2_normal,normal,colight,0,0,96.39772196772832
2x2_normal,normal,colight,0,1,100.16857305036268
2x2_normal,normal,colight,0,2,94.82037635679058
2x2_normal,normal,colight,2,0,106.46938369422631
2x2_normal,normal,colight,2,1,99.30803185470317
2x2_normal,normal,colight,2,2,98.41549982484786
2x2_normal,normal,colight,4,0,91.14640291587965
2x2_normal,normal,colight,4,1,97.6636334749377
2x2_normal,normal,colight,4,2,92.35358830011826
2x2_normal,normal,colight,6,0,99.51844578950234
2x2_normal,normal,colight,6,1,99.67284555564086
2x2_normal,normal,colight,6,2,97.6495081724022
2x2_normal,normal,colight,8,0,108.62630010695557
2x2_normal,normal,colight,8,1,109.85318026726738
2x2_normal,normal,colight,8,2,112.87575912509142
2x2_normal,normal,colight,10,0,130.36222003836167
2x2_normal,normal,colight,10,1,139.482068862955
2x2_normal,normal,colight,10,2,129.70742263806437
2x2_normal,normal,colight,12,0,146.6043057310754
2x2_normal,normal,colight,12,1,147.42495389126685
2x2_normal,normal,colight,12,2,148.09754243900554
2x2_normal,normal,colight,14,0,170.73424083972392
2x2_normal,normal,colight,14,1,176.8285683041186
2x2_normal,normal,colight,14,2,170.92406684729173
2x2_normal,normal,colight,16,0,195.6137701012783
2x2_normal,normal,colight,16,1,196.0468030128615
2x2_normal,normal,colight,16,2,199.40331941229027
2x2_normal,normal,colight,18,0,227.5278415124485
2x2_normal,normal,colight,18,1,233.4933550270508
2x2_normal,normal,colight,18,2,220.29851941620788
2x2_normal,normal,colight,20,0,254.76197724599172
2x2_normal,normal,colight,20,1,250.57842506431874
2x2_normal,normal,colight,20,2,261.2165004636514
