time,tls_id,controlled_lanes,state
270,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrGGrrrrrrGGrrrr
280,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrGGrrrrrrGGrrrr
290,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrGGrrrrrrGGrr
300,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrGGrrrrrrGGrr
310,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrGGrrrrrrGGrr
320,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrGGrrrrrrGGrr
330,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrrrrrGGGG
340,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrrrrrGGGG
350,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrGGrrrrrrGGrrrr
360,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrGGrrrrrrGGrrrr
370,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrGGGGrrrrrrrr
380,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrGGGGrrrrrrrr
390,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrGGGGrrrrrrrr
400,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrGGGGrrrrrrrr
410,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrGGrrrrrrGGrr
420,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrrrrrGGGG
430,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrGGrrrrrrGGrr
440,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
450,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
460,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
470,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
480,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
490,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
500,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
510,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
520,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
530,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
540,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
550,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
560,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
570,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
580,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
590,intersection_1_1,road_1_2_3_0;road_1_2_3_0;road_1_2_3_1;road_1_2_3_1;road_2_1_2_0;road_2_1_2_0;road_2_1_2_1;road_2_1_2_1;road_1_0_1_0;road_1_0_1_0;road_1_0_1_1;road_1_0_1_1;road_0_1_0_0;road_0_1_0_0;road_0_1_0_1;road_0_1_0_1,rrrrrrrrGGGGrrrr
